"code","dep_time","dep_place","arr_time","arr_place","aircraft","time"
"2P 249","13:05","MNL","14:05","KLO","Airbus A320","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"2P 250","14:00","KLO","15:00","MNL","Airbus A320","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"3K 722","20:20","TPE","01:10","SIN","Airbus A320","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"3K 724","15:25","TPE","20:10","SIN","Airbus A320","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"3U 8010","19:35","WUX","23:15","KMG","Airbus A320","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"3U 8202","20:25","PVG","23:45","KMG","Airbus A320","['No', 'Yes', 'No', 'Yes', 'No', 'No', 'Yes']"
"3U 8208","18:05","TNA","20:20","HRB","Airbus A320","['Yes', 'No', 'Yes', 'No', 'No', 'No', 'No']"
"3U 8262","14:40","CSX","16:20","CKG","Airbus A320","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"3U 8306","14:05","PVG","17:10","HRB","Airbus A319","['Yes', 'No', 'No', 'No', 'No', 'No', 'No']"
"3U 8502","17:10","CGO","19:20","CTU","Airbus A330","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"3U 8505","14:50","NKG","17:25","CGQ","Airbus A320","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"3U 8506","21:45","NKG","00:50","KMG","Airbus A320","['No', 'No', 'No', 'Yes', 'No', 'No', 'No']"
"3U 8514","15:05","CKG","16:35","KMG","Airbus A320","['No', 'No', 'Yes', 'No', 'No', 'No', 'Yes']"
"3U 8544","21:55","NKG","00:10","CKG","Airbus A320","['No', 'Yes', 'No', 'Yes', 'No', 'No', 'Yes']"
"3U 8549","14:35","KMG","16:15","CTU","Airbus A320","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"3U 8550","23:50","CTU","01:25","KMG","Airbus A320","['No', 'No', 'No', 'Yes', 'No', 'No', 'No']"
"3U 8554","22:20","CKG","23:55","KMG","Airbus A320","['No', 'Yes', 'No', 'No', 'Yes', 'No', 'No']"
"3U 8568","16:55","TSN","18:55","HRB","Airbus A321","['No', 'No', 'No', 'Yes', 'No', 'No', 'No']"
"3U 8581","16:30","HGH","19:45","HRB","Airbus A320","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"3U 8584","18:45","CGO","21:35","HRB","Airbus A320","['No', 'No', 'No', 'Yes', 'No', 'No', 'No']"
"3U 8585","17:10","HGH","19:15","DLC","Airbus A319","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"3U 8587","17:15","XIY","20:55","URC","Airbus A319","['Yes', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"3U 8618","17:10","HKG","19:40","CTU","Airbus A320","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"3U 8628","20:55","WUX","00:20","CTU","Airbus A319","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"3U 8637","20:55","CAN","22:10","DAD","Airbus A320","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"3U 8667","23:00","CTU","00:40","KMG","Airbus A320","['No', 'Yes', 'No', 'No', 'No', 'No', 'No']"
"3U 8704","16:55","SZX","19:35","CTU","Airbus A321","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"3U 8706","19:20","SZX","22:10","CTU","Airbus A321","['No', 'Yes', 'Yes', 'Yes', 'No', 'No', 'Yes']"
"3U 8730","19:55","NGB","22:50","HRB","Airbus A321","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"3U 8732","12:55","CAN","15:30","CTU","Airbus A320","['No', 'Yes', 'No', 'No', 'No', 'No', 'No']"
"3U 8750","20:55","WNZ","23:40","CKG","Airbus A319","['No', 'No', 'No', 'Yes', 'No', 'Yes', 'No']"
"3U 8762","19:35","WUX","23:05","KMG","Airbus A320","['No', 'No', 'No', 'Yes', 'No', 'No', 'No']"
"3U 8784","16:10","SZX","18:25","CKG","Airbus A321","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"3U 8788","20:50","SZX","23:15","CKG","Airbus A319","['No', 'Yes', 'No', 'No', 'Yes', 'No', 'No']"
"3U 8801","20:55","CAN","00:25","JHB","Airbus A320","['No', 'Yes', 'No', 'No', 'No', 'Yes', 'No']"
"3U 8807","11:45","XUZ","13:45","SHE","Airbus A320","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"3U 8824","22:40","KHN","00:55","KMG","Airbus A319","['No', 'No', 'Yes', 'No', 'No', 'No', 'No']"
"3U 8843","18:05","TNA","20:20","HRB","Airbus A321","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"3U 8870","11:05","XMN","13:50","CTU","Airbus A320","['No', 'No', 'Yes', 'No', 'Yes', 'No', 'No']"
"3U 8880","20:10","HAK","22:20","CKG","Airbus A320","['No', 'Yes', 'No', 'Yes', 'No', 'No', 'Yes']"
"3U 8908","14:55","CSX","16:25","CKG","Airbus A320","['No', 'No', 'Yes', 'No', 'Yes', 'No', 'No']"
"3U 8912","18:45","HGH","22:05","CTU","Airbus A330","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"3U 8920","19:35","HGH","22:25","CTU","Airbus A320","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"3U 8934","20:55","WNZ","00:15","CTU","Airbus A321","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"3U 8936","22:20","HGH","00:40","CKG","Airbus A319","['No', 'Yes', 'No', 'No', 'Yes', 'No', 'No']"
"3U 8952","21:40","CSX","23:20","CKG","Airbus A320","['No', 'No', 'No', 'Yes', 'No', 'No', 'No']"
"3U 8956","22:45","DYG","23:40","CKG","Airbus A321","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"3U 8958","19:10","TPE","22:20","KMG","Airbus A320","['No', 'Yes', 'No', 'Yes', 'No', 'No', 'Yes']"
"3U 8962","11:45","PVG","15:05","CTU","Airbus A330","['Yes', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"3U 8964","15:40","PVG","19:05","CTU","Airbus A321","['No', 'No', 'No', 'Yes', 'No', 'No', 'Yes']"
"3U 8967","13:00","KMG","14:45","CKG","Airbus A319","['Yes', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"3U 8974","17:55","PVG","21:00","CKG","Airbus A321","['No', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes']"
"3U 8978","17:45","TSA","21:00","CTU","Airbus A321",""
"3U 8980","20:15","TSA","23:20","CKG","Airbus A320",""
"3U 8994","21:30","NKG","00:15","CTU","Airbus A321","['No', 'Yes', 'No', 'Yes', 'No', 'No', 'Yes']"
"3U 8998","12:10","FOC","13:35","CSX","Airbus A321","['No', 'No', 'No', 'Yes', 'No', 'No', 'Yes']"
"5J 301","01:05","TPE","03:45","CEB","Airbus A320",""
"5J 311","01:25","TPE","03:40","MNL","Airbus A330",""
"5J 332","03:50","KLO","04:55","MNL","Airbus A320","['No', 'Yes', 'No', 'No', 'No', 'No', 'No']"
"5J 397","06:45","MNL","08:20","CGY","Airbus A320","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"5J 415","04:10","KLO","04:55","CEB","Airbus A320","['Yes', 'No', 'No', 'No', 'No', 'No', 'No']"
"5J 483","06:35","MNL","07:55","BCD","Airbus A320","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"5J 551","06:15","MNL","07:40","CEB","Airbus A320","['No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
"5J 555","07:10","MNL","08:30","CEB","Airbus A320","['No', 'Yes', 'No', 'Yes', 'No', 'No', 'No']"
